# Fault Occurred At: 2026-07-30T14:30:19.715+0900
# Robot: M v1.3
# SDK Version: 0.9.1
# Log Duration: 5 sec
# Joint Names: wheel_fr,wheel_fl,wheel_rr,wheel_rl,torso_0,torso_1,torso_2,torso_3,torso_4,torso_5,right_arm_0,right_arm_1,right_arm_2,right_arm_3,right_arm_4,right_arm_5,right_arm_6,left_arm_0,left_arm_1,left_arm_2,left_arm_3,left_arm_4,left_arm_5,left_arm_6,head_0,head_1
# Power State: 0=Unknown, 1=Power On, 2=Power Off
# Control Manager State: 0=Idle, 1=Enabled, 2=Minor Fault, 3=Major Fault
# Control State: 0=Idle, 1=Executing, 2=Switching
timestamp,power_5v,power_12v,power_24v,power_48v,control_manager_state,control_state,wheel_fr_state,wheel_fl_state,wheel_rr_state,wheel_rl_state,torso_0_state,torso_1_state,torso_2_state,torso_3_state,torso_4_state,torso_5_state,right_arm_0_state,right_arm_1_state,right_arm_2_state,right_arm_3_state,right_arm_4_state,right_arm_5_state,right_arm_6_state,left_arm_0_state,left_arm_1_state,left_arm_2_state,left_arm_3_state,left_arm_4_state,left_arm_5_state,left_arm_6_state,head_0_state,head_1_state,wheel_fr_pos,wheel_fl_pos,wheel_rr_pos,wheel_rl_pos,torso_0_pos,torso_1_pos,torso_2_pos,torso_3_pos,torso_4_pos,torso_5_pos,right_arm_0_pos,right_arm_1_pos,right_arm_2_pos,right_arm_3_pos,right_arm_4_pos,right_arm_5_pos,right_arm_6_pos,left_arm_0_pos,left_arm_1_pos,left_arm_2_pos,left_arm_3_pos,left_arm_4_pos,left_arm_5_pos,left_arm_6_pos,head_0_pos,head_1_pos,wheel_fr_vel,wheel_fl_vel,wheel_rr_vel,wheel_rl_vel,torso_0_vel,torso_1_vel,torso_2_vel,torso_3_vel,torso_4_vel,torso_5_vel,right_arm_0_vel,right_arm_1_vel,right_arm_2_vel,right_arm_3_vel,right_arm_4_vel,right_arm_5_vel,right_arm_6_vel,left_arm_0_vel,left_arm_1_vel,left_arm_2_vel,left_arm_3_vel,left_arm_4_vel,left_arm_5_vel,left_arm_6_vel,head_0_vel,head_1_vel,wheel_fr_cur,wheel_fl_cur,wheel_rr_cur,wheel_rl_cur,torso_0_cur,torso_1_cur,torso_2_cur,torso_3_cur,torso_4_cur,torso_5_cur,right_arm_0_cur,right_arm_1_cur,right_arm_2_cur,right_arm_3_cur,right_arm_4_cur,right_arm_5_cur,right_arm_6_cur,left_arm_0_cur,left_arm_1_cur,left_arm_2_cur,left_arm_3_cur,left_arm_4_cur,left_arm_5_cur,left_arm_6_cur,head_0_cur,head_1_cur,wheel_fr_tq,wheel_fl_tq,wheel_rr_tq,wheel_rl_tq,torso_0_tq,torso_1_tq,torso_2_tq,torso_3_tq,torso_4_tq,torso_5_tq,right_arm_0_tq,right_arm_1_tq,right_arm_2_tq,right_arm_3_tq,right_arm_4_tq,right_arm_5_tq,right_arm_6_tq,left_arm_0_tq,left_arm_1_tq,left_arm_2_tq,left_arm_3_tq,left_arm_4_tq,left_arm_5_tq,left_arm_6_tq,head_0_tq,head_1_tq,wheel_fr_target_pos,wheel_fl_target_pos,wheel_rr_target_pos,wheel_rl_target_pos,torso_0_target_pos,torso_1_target_pos,torso_2_target_pos,torso_3_target_pos,torso_4_target_pos,torso_5_target_pos,right_arm_0_target_pos,right_arm_1_target_pos,right_arm_2_target_pos,right_arm_3_target_pos,right_arm_4_target_pos,right_arm_5_target_pos,right_arm_6_target_pos,left_arm_0_target_pos,left_arm_1_target_pos,left_arm_2_target_pos,left_arm_3_target_pos,left_arm_4_target_pos,left_arm_5_target_pos,left_arm_6_target_pos,head_0_target_pos,head_1_target_pos,wheel_fr_target_vel,wheel_fl_target_vel,wheel_rr_target_vel,wheel_rl_target_vel,torso_0_target_vel,torso_1_target_vel,torso_2_target_vel,torso_3_target_vel,torso_4_target_vel,torso_5_target_vel,right_arm_0_target_vel,right_arm_1_target_vel,right_arm_2_target_vel,right_arm_3_target_vel,right_arm_4_target_vel,right_arm_5_target_vel,right_arm_6_target_vel,left_arm_0_target_vel,left_arm_1_target_vel,left_arm_2_target_vel,left_arm_3_target_vel,left_arm_4_target_vel,left_arm_5_target_vel,left_arm_6_target_vel,head_0_target_vel,head_1_target_vel,wheel_fr_target_fb_gain,wheel_fl_target_fb_gain,wheel_rr_target_fb_gain,wheel_rl_target_fb_gain,torso_0_target_fb_gain,torso_1_target_fb_gain,torso_2_target_fb_gain,torso_3_target_fb_gain,torso_4_target_fb_gain,torso_5_target_fb_gain,right_arm_0_target_fb_gain,right_arm_1_target_fb_gain,right_arm_2_target_fb_gain,right_arm_3_target_fb_gain,right_arm_4_target_fb_gain,right_arm_5_target_fb_gain,right_arm_6_target_fb_gain,left_arm_0_target_fb_gain,left_arm_1_target_fb_gain,left_arm_2_target_fb_gain,left_arm_3_target_fb_gain,left_arm_4_target_fb_gain,left_arm_5_target_fb_gain,left_arm_6_target_fb_gain,head_0_target_fb_gain,head_1_target_fb_gain,wheel_fr_target_ff_tq,wheel_fl_target_ff_tq,wheel_rr_target_ff_tq,wheel_rl_target_ff_tq,torso_0_target_ff_tq,torso_1_target_ff_tq,torso_2_target_ff_tq,torso_3_target_ff_tq,torso_4_target_ff_tq,torso_5_target_ff_tq,right_arm_0_target_ff_tq,right_arm_1_target_ff_tq,right_arm_2_target_ff_tq,right_arm_3_target_ff_tq,right_arm_4_target_ff_tq,right_arm_5_target_ff_tq,right_arm_6_target_ff_tq,left_arm_0_target_ff_tq,left_arm_1_target_ff_tq,left_arm_2_target_ff_tq,left_arm_3_target_ff_tq,left_arm_4_target_ff_tq,left_arm_5_target_ff_tq,left_arm_6_target_ff_tq,head_0_target_ff_tq,head_1_target_ff_tq
1108.122,1,1,1,1,1,0,7,7,7,7,7,7,7,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.315,0.265,0.174,0.352,0.000,0.785,-1.571,0.785,0.000,0.000,0.000,-0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.226,0.392,0.170,-0.428,-0.210,-4.230,7.790,-1.237,-0.156,-0.012,-1.284,-0.209,-0.117,-1.183,0.091,-0.257,-0.138,-1.213,0.071,-0.004,-1.326,0.026,-0.371,0.073,0.112,-0.230,-0.271,0.470,0.204,-0.514,-3.181,-64.085,118.018,-12.494,-1.576,-0.121,-12.968,-2.111,-1.182,-11.948,0.500,-1.413,-1.155,-12.251,0.717,-0.040,-13.393,0.143,-2.040,0.611,0.616,-1.265,0.314,0.267,0.175,0.351,0.000,0.785,-1.571,0.785,0.000,-0.000,-0.000,-0.087,-0.000,-2.094,-0.000,0.524,0.000,-0.000,0.087,0.000,-2.094,0.000,0.524,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-3.731,-42.445,105.165,-18.126,0.218,0.000,-12.347,-1.466,-1.155,-11.379,-0.000,-1.431,-0.125,-12.346,1.481,1.154,-11.378,-0.013,-1.431,0.125,0.000,-0.496
1108.124,1,1,1,1,1,0,7,7,7,7,7,7,7,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.315,0.265,0.174,0.352,0.000,0.785,-1.571,0.785,0.000,0.000,0.000,-0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.226,0.392,0.170,-0.428,-0.200,-4.240,7.790,-1.251,-0.159,-0.015,-1.289,-0.212,-0.120,-1.188,0.089,-0.259,-0.140,-1.208,0.085,-0.002,-1.327,0.025,-0.372,0.073,0.118,-0.233,-0.271,0.470,0.204,-0.514,-3.030,-64.236,118.018,-12.635,-1.606,-0.152,-13.019,-2.141,-1.212,-11.999,0.489,-1.425,-1.172,-12.201,0.859,-0.020,-13.403,0.138,-2.046,0.611,0.649,-1.282,0.314,0.267,0.175,0.351,0.000,0.785,-1.571,0.785,0.000,-0.000,-0.000,-0.087,-0.000,-2.094,-0.000,0.524,0.000,-0.000,0.087,0.000,-2.094,0.000,0.524,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-3.731,-42.445,105.165,-18.126,0.218,0.000,-12.347,-1.466,-1.155,-11.379,-0.000,-1.431,-0.125,-12.346,1.481,1.154,-11.378,-0.013,-1.431,0.125,0.000,-0.496
1108.126,1,1,1,1,1,0,7,7,7,7,7,7,7,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.315,0.265,0.174,0.352,0.000,0.785,-1.571,0.785,0.000,0.000,0.000,-0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.226,0.392,0.170,-0.428,-0.200,-4.240,7.800,-1.247,-0.159,-0.015,-1.299,-0.212,-0.118,-1.185,0.087,-0.256,-0.138,-1.210,0.082,-0.004,-1.327,0.024,-0.372,0.071,0.114,-0.235,-0.271,0.470,0.204,-0.514,-3.030,-64.236,118.170,-12.595,-1.606,-0.152,-13.120,-2.141,-1.192,-11.969,0.478,-1.408,-1.155,-12.221,0.828,-0.040,-13.403,0.132,-2.046,0.594,0.627,-1.292,0.314,0.267,0.175,0.351,0.000,0.785,-1.571,0.785,0.000,-0.000,-0.000,-0.087,-0.000,-2.094,-0.000,0.524,0.000,-0.000,0.087,0.000,-2.094,0.000,0.524,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-3.731,-42.445,105.165,-18.126,0.218,0.000,-12.347,-1.466,-1.155,-11.379,-0.000,-1.431,-0.125,-12.346,1.481,1.154,-11.378,-0.013,-1.431,0.125,0.000,-0.496
1108.128,1,1,1,1,1,0,7,7,7,7,7,7,7,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.315,0.265,0.174,0.352,0.000,0.785,-1.571,0.785,0.000,0.000,0.000,-0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.226,0.392,0.170,-0.428,-0.210,-4.230,7.820,-1.247,-0.154,-0.014,-1.302,-0.214,-0.123,-1.185,0.087,-0.256,-0.138,-1.211,0.086,-0.006,-1.327,0.024,-0.372,0.071,0.113,-0.236,-0.271,0.470,0.204,-0.514,-3.181,-64.085,118.473,-12.595,-1.555,-0.141,-13.150,-2.161,-1.242,-11.969,0.478,-1.408,-1.155,-12.231,0.869,-0.061,-13.403,0.132,-2.046,0.594,0.622,-1.298,0.314,0.267,0.175,0.351,0.000,0.785,-1.571,0.785,0.000,-0.000,-0.000,-0.087,-0.000,-2.094,-0.000,0.524,0.000,-0.000,0.087,0.000,-2.094,0.000,0.524,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-3.731,-42.445,105.165,-18.126,0.218,0.000,-12.347,-1.466,-1.155,-11.379,-0.000,-1.431,-0.125,-12.346,1.481,1.154,-11.378,-0.013,-1.431,0.125,0.000,-0.496
1108.130,1,1,1,1,1,0,7,7,7,7,7,7,7,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.315,0.265,0.174,0.352,0.000,0.785,-1.571,0.785,0.000,0.000,0.000,-0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.252,0.392,0.166,-0.459,-0.220,-4.230,7.820,-1.255,-0.154,-0.014,-1.296,-0.209,-0.111,-1.183,0.096,-0.257,-0.137,-1.211,0.079,-0.001,-1.326,0.027,-0.372,0.070,0.112,-0.236,-0.302,0.470,0.199,-0.551,-3.333,-64.085,118.473,-12.676,-1.555,-0.141,-13.090,-2.111,-1.121,-11.948,0.528,-1.413,-1.147,-12.231,0.798,-0.010,-13.393,0.148,-2.046,0.586,0.616,-1.298,0.314,0.267,0.175,0.351,0.000,0.785,-1.571,0.785,0.000,-0.000,-0.000,-0.087,-0.000,-2.094,-0.000,0.524,0.000,-0.000,0.087,0.000,-2.094,0.000,0.524,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-3.731,-42.445,105.165,-18.126,0.218,0.000,-12.347,-1.466,-1.155,-11.379,-0.000,-1.431,-0.125,-12.346,1.481,1.154,-11.378,-0.013,-1.431,0.125,0.000,-0.496
1108.132,1,1,1,1,1,0,7,7,7,7,7,7,7,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.315,0.265,0.174,0.352,0.000,0.785,-1.571,0.785,0.000,0.000,0.000,-0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.252,0.310,0.166,-0.459,-0.200,-4.210,7.840,-1.258,-0.144,-0.009,-1.295,-0.206,-0.105,-1.180,0.092,-0.253,-0.134,-1.212,0.075,-0.001,-1.326,0.028,-0.371,0.069,0.113,-0.237,-0.302,0.372,0.199,-0.551,-3.030,-63.781,118.776,-12.706,-1.454,-0.091,-13.080,-2.081,-1.061,-11.918,0.506,-1.391,-1.122,-12.241,0.758,-0.010,-13.393,0.154,-2.040,0.578,0.622,-1.303,0.314,0.267,0.175,0.351,0.000,0.785,-1.571,0.785,0.000,-0.000,-0.000,-0.087,-0.000,-2.094,-0.000,0.524,0.000,-0.000,0.087,0.000,-2.094,0.000,0.524,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-3.731,-42.445,105.165,-18.126,0.218,0.000,-12.347,-1.466,-1.155,-11.379,-0.000,-1.431,-0.125,-12.346,1.481,1.154,-11.378,-0.013,-1.431,0.125,0.000,-0.496
1108.134,1,1,1,1,1,0,7,7,7,7,7,7,7,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.315,0.265,0.174,0.352,0.000,0.785,-1.571,0.785,0.000,0.000,0.000,-0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.252,0.310,0.166,-0.459,-0.200,-4.220,7.830,-1.245,-0.144,-0.009,-1.296,-0.206,-0.105,-1.180,0.092,-0.253,-0.134,-1.217,0.078,-0.003,-1.326,0.028,-0.371,0.069,0.114,-0.237,-0.302,0.372,0.199,-0.551,-3.030,-63.933,118.624,-12.575,-1.454,-0.091,-13.090,-2.081,-1.061,-11.918,0.506,-1.391,-1.122,-12.292,0.788,-0.030,-13.393,0.154,-2.040,0.578,0.627,-1.303,0.314,0.267,0.175,0.351,0.000,0.785,-1.571,0.785,0.000,-0.000,-0.000,-0.087,-0.000,-2.094,-0.000,0.524,0.000,-0.000,0.087,0.000,-2.094,0.000,0.524,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-3.731,-42.445,105.165,-18.126,0.218,0.000,-12.347,-1.466,-1.155,-11.379,-0.000,-1.431,-0.125,-12.346,1.481,1.154,-11.378,-0.013,-1.431,0.125,0.000,-0.496
1108.136,1,1,1,1,1,0,7,7,7,7,7,7,7,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.315,0.265,0.174,0.352,0.000,0.785,-1.571,0.785,0.000,0.000,0.000,-0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.252,0.310,0.166,-0.459,-0.240,-4.210,7.830,-1.247,-0.149,-0.006,-1.286,-0.212,-0.114,-1.183,0.095,-0.256,-0.134,-1.212,0.080,0.002,-1.325,0.025,-0.370,0.070,0.109,-0.238,-0.302,0.372,0.199,-0.551,-3.636,-63.781,118.624,-12.595,-1.505,-0.061,-12.989,-2.141,-1.151,-11.948,0.522,-1.408,-1.122,-12.241,0.808,0.020,-13.383,0.138,-2.035,0.586,0.600,-1.309,0.314,0.267,0.175,0.351,0.000,0.785,-1.571,0.785,0.000,-0.000,-0.000,-0.087,-0.000,-2.094,-0.000,0.524,0.000,-0.000,0.087,0.000,-2.094,0.000,0.524,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-3.731,-42.445,105.165,-18.126,0.218,0.000,-12.347,-1.466,-1.155,-11.379,-0.000,-1.431,-0.125,-12.346,1.481,1.154,-11.378,-0.013,-1.431,0.125,0.000,-0.496
1108.138,1,1,1,1,1,0,7,7,7,7,7,7,7,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.315,0.265,0.174,0.352,0.000,0.785,-1.571,0.785,0.000,0.000,0.000,-0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.252,0.310,0.166,-0.459,-0.240,-4.260,7.830,-1.251,-0.149,-0.006,-1.292,-0.217,-0.123,-1.184,0.094,-0.256,-0.136,-1.210,0.082,0.010,-1.325,0.026,-0.373,0.069,0.114,-0.239,-0.302,0.372,0.199,-0.551,-3.636,-64.539,118.624,-12.635,-1.505,-0.061,-13.049,-2.192,-1.242,-11.958,0.517,-1.408,-1.138,-12.221,0.828,0.101,-13.383,0.143,-2.051,0.578,0.627,-1.315,0.314,0.267,0.175,0.351,0.000,0.785,-1.571,0.785,0.000,-0.000,-0.000,-0.087,-0.000,-2.094,-0.000,0.524,0.000,-0.000,0.087,0.000,-2.094,0.000,0.524,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-3.731,-42.445,105.165,-18.126,0.218,0.000,-12.347,-1.466,-1.155,-11.379,-0.000,-1.431,-0.125,-12.346,1.481,1.154,-11.378,-0.013,-1.431,0.125,0.000,-0.496
1108.140,1,1,1,1,1,0,7,7,7,7,7,7,7,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.315,0.265,0.174,0.352,0.000,0.785,-1.571,0.785,0.000,0.000,0.000,-0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,0.087,0.000,-2.094,-0.000,0.524,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.268,0.310,0.166,-0.459,-0.240,-4.250,7.840,-1.251,-0.145,-0.009,-1.288,-0.219,-0.123,-1.183,0.095,-0.257,-0.136,-1.214,0.085,0.007,-1.325,0.026,-0.373,0.069,0.110,-0.237,-0.322,0.372,0.199,-0.551,-3.636,-64.387,118.776,-12.635,-1.465,-0.091,-13.009,-2.212,-1.242,-11.948,0.522,-1.413,-1.138,-12.261,0.859,0.071,-13.383,0.143,-2.051,0.578,0.605,-1.303,0.314,0.267,0.175,0.351,0.000,0.785,-1.571,0.785,0.000,-0.000,-0.000,-0.087,-0.000,-2.094,-0.000,0.524,0.000,-0.000,0.087,0.000,-2.094,0.000,0.524,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-3.731,-42.445,105.165,-18.126,0.218,0.000,-12.347,-1.466,-1.155,-11.379,-0.000,-1.431,-0.125,-12.346,1.481,1.154,-11.378,-0.013,-1.431,0.125,0.000,-0.496
